#Accession	NCBI-taxid (-1 = withdrawn)
2265129005	1144932
2500069000	349123
2501533205	469381
2501915963	656914
2502171150	240017
2502790017	679901
2502957028	439235
2503198000	536019
2503242012	345219
2503283022	198252
2503508007	688269
2503538010	700015
2503538027	509192
2503538034	743713
2503707007	755732
2503754000	687406
2503754015	641491
2503754046	688246
2503904014	690566
2503982034	452638
2503982039	679937
2503982046	573058
2504136002	693661
2504136006	880072
2504136012	715451
2504557006	546271
2504643023	311458
2504756004	760192
2504756006	747365
2504756013	2157
2504756058	697303
2504756061	903525
2504756063	903524
2505119043	580340
2505679005	694429
2505679006	157
2505679008	717231
2505679009	717773
2505679016	593907
2505679031	643560
2505679068	743718
2505679078	762570
2505679080	743722
2505679082	743720
2505679121	913338
2506210002	717774
2506210003	491952
2506381019	102897
2506381025	937775
2506485001	929562
2506485007	632516
2506520008	768490
2506520009	768493
2506520012	795359
2506520013	869212
2506520015	679936
2506520020	714943
2506520037	566546
2506520038	745277
2506520039	647171
2506520040	867845
2506520041	666685
2506520042	762569
2506520043	108010
2506520044	694430
2506783006	929713
2506783009	797302
2506783010	929563
2506783014	710421
2506783047	751944
2506783051	758602
2506783052	756883
2506783059	765912
2506783061	646529
2506783062	698948
2506783063	717772
2506783064	760154
2506783068	28892
2507149019	871963
2507149024	871968
2507262015	882800
2507262026	696369
2507262027	595536
2507262035	693972
2507262043	882090
2507262044	547146
2507262051	720554
2507262052	166318
2507262054	860575
2507525018	754520
2508501002	767817
2508501004	600773
2508501010	686340
2508501012	882083
2508501013	882082
2508501014	662478
2508501018	662477
2508501019	523841
2508501020	662479
2508501021	864051
2508501023	879212
2508501038	596152
2508501040	243261
2508501043	644897
2508501044	882081
2508501045	751945
2508501046	640081
2508501048	631362
2508501049	671065
2508501050	754519
2508501051	765911
2508501052	710687
2508501067	278956
2508501068	108007
2508501069	717605
2508501070	158190
2508501071	768491
2508501098	253245
2508501100	754762
2508501105	593750
2508501106	710685
2508501107	768671
2508501108	798128
2508501110	765873
2508501111	316274
2508501115	926554
2508501119	928724
2508501122	1041159
2508501123	1040987
2508501124	948106
2508501126	1040984
2508501127	1040985
2508501128	1040989
2509276007	633697
2509276011	935867
2509276013	935566
2509276015	935849
2509276019	1353531
2509276021	754764
2509276022	754035
2509276023	927658
2509276026	453852
2509276033	754522
2509276035	694433
2509276036	765914
2509276054	882086
2509276055	907348
2509276057	889378
2509276058	232259
2509276062	929556
2509276063	746697
2509276064	695939
2509276066	908937
2509276067	880074
2509601004	886293
2509601008	867904
2509601011	891968
2509601014	155920
2509601020	880526
2509601028	903818
2509601034	767434
2509601035	679935
2509601036	868129
2509601044	909663
2509601048	797303
2510065005	913025
2510065009	200415
2510065015	765913
2510065016	871738
2510065019	754523
2510065032	926560
2510065044	768704
2510065046	395964
2510065049	794903
2510065051	797299
2510065052	866499
2510065056	1041152
2510065057	1041157
2510065062	479430
2510065083	929712
2510065084	927661
2510065085	935948
2510065086	660470
2510065087	75309
2510436005	872330
2510461000	882084
2510461053	509191
2510461066	257501
2510461069	1125979
2510461076	754521
2510917000	1056818
2511231041	1265756
2511231042	1265757
2511231043	466038
2511231052	928722
2512047086	935557
2512047087	999549
2512564009	999552
2512564010	1068979
2512564091	694431
2512875013	932678
2512875016	935547
2512875023	1063
2512875026	935558
2513020028	818
2513020030	371601
2513020031	371601
2513020032	818
2513020035	371601
2513020047	768672
2513020048	926550
2513237078	385957
2513237084	1041143
2513237086	1041155
2513237087	1038858
2513237093	1041140
2513237096	1079466
2513237097	1037409
2513237099	1056820
2513237101	1038859
2513237103	1041145
2513237118	675631
2513237119	1111737
2513237122	1111738
2513237132	1189621
2513237137	398524
2513237140	1041153
2513237141	113395
2513237143	1041154
2513237145	1079479
2513237147	1040983
2513237153	1188263
2513237155	1111735
2513237156	1041149
2513237159	1041139
2513237161	1038866
2513237162	1041142
2513237164	1040982
2514885004	818
2514885006	371601
2515075009	936136
2515154008	512012
2515154010	1123308
2515154012	1122247
2515154015	1120948
2515154016	1121272
2515154021	1123399
2515154024	1123303
2515154025	1123312
2515154030	1122176
2515154032	1120984
2515154050	1144273
2515154059	1121370
2515154066	818
2515154070	1122179
2515154073	1121374
2515154076	1123393
2515154077	1121022
2515154079	1122214
2515154080	1123390
2515154081	1122223
2515154082	1046724
2515154084	1122967
2515154085	742767
2515154087	365528
2515154107	1041151
2515154108	1123311
2515154112	374
2515154118	765909
2515154123	667632
2515154139	1122618
2515154140	1122138
2515154141	1122611
2515154142	1123322
2515154143	1123244
2515154145	1121904
2515154146	1121373
2515154147	1122243
2515154152	1121104
2515154158	1121930
2515154159	1122987
2515154167	1123277
2515154190	1123501
2515154196	1122218
2515154197	1123320
2515154199	1121315
2515154212	1122134
2515154213	999628
2516143008	1125972
