#Accession	NCBI-taxid (-1 = withdrawn)
3778872	355246
13828050	1136731
14297136	1208236
956029	194802
14296353	1147043
4643136	398839
15011566	889953
13997173	1239382
4818287	417280
3197217	280701
2949796	45455
15009844	754048
11536472	1128424
12869767	1181310
11294925	331278
14296256	1147044
10511628	753084
11541417	1109714
3197196	280701
10973843	489830
12983992	1070417
5176334	1307956
2777666	10726
5660363	380598
5220106	393598
14181768	1229755
8683421	674081
5236326	425386
16797045	1327981
4484428	340435
5141892	1307957
1725085	35254
10511682	753084
920019	148363
16216108	1324959
6920846	546805
15012545	754058
13995280	1211640
17526680	1406783
16193730	1273748
16836165	1206545
14296900	1235689
5950891	379529
5236333	425386
4811547	10390
5076573	322855
8207415	658401
3655078	181082
934980	154334
5142090	332054
8463099	642926
956580	11613
3346303	305674
15013345	616674
14012523	1127515
14008252	1249648
14444706	1262513
13827147	1177632
15012909	755272
14016696	1161935
956320	146073
940360	79700
3342356	279383
5176783	273133
15302152	1296646
7011985	305676
9926414	709484
5176938	320831
14517017	1091052
14182066	1147151
17401031	1408258
5687492	386793
10896994	981323
14007322	941058
13164915	1049283
15009936	756282
5950842	379529
920319	151536
920556	35246
16212758	1327035
16545972	1340824
9925425	212035
5184156	359919
2947845	129727
7804591	307467
2700122	44088
10328965	444861
10192231	1605972
4156297	345201
2943392	249151
2658152	227470
1497355	36363
8655107	48544
6920486	546803
15013096	754041
13997393	1204535
918166	10506
10511621	753084
13165312	1173135
4156118	373403
4363457	1285600
8684400	655097
7943174	576789
8746343	694581
16414235	994995
5845774	489089
2700373	44088
10511640	753084
16193609	1273746
2753563	230158
6964543	560178
13828865	1141133
16747437	109993
6779478	551895
17426926	40052
921339	11047
5141624	292639
16185757	929835
8673582	693582
16213905	1327770
6804928	39420
1260085	205879
1449787	83191
7057044	566270
912226	98383
912264	33756
14182232	1147155
16193716	1273748
14011371	317878
3725975	348137
1261427	66797
16546183	1383059
13994882	1204537
16182874	1335638
13994001	1141136
2700266	44088
922400	40521
7565080	624134
5364554	399781
4306165	113370
11257829	1080800
10896992	981323
8683802	663557
15312258	536474
14516844	1123964
16185651	929833
15312012	536444
3890565	28288
1449533	65467
16185695	929834
10379910	877240
6965836	208013
16606914	1349410
10020136	880162
16881006	1327971
1259017	205868
8684043	665032
4179136	204507
1494745	28321
13165215	1049283
5797457	451705
9887903	693272
911765	35252
6369820	482058
14011536	1136534
4443088	373862
14007519	936152
3238786	39640
10896988	981323
14181984	1147152
10326939	445700
13997335	1204534
7778926	573199
14697539	1283079
5656715	99000
1257739	198538
6470153	546185
1733742	210016
935787	190478
14675454	1087482
7944156	576791
1450436	85618
11294880	331278
1482626	204987
10973785	489830
2821441	209052
920222	151534
5184192	359919
4238680	28871
11948246	1156719
13994366	1141137
6940320	561996
5179442	389214
14006943	929814
5176060	10455
7008995	10685
10019930	880159
7009126	10685
14296789	1206557
11945683	1159902
2716665	10761
6804809	39420
1261846	75590
956539	11520
2545976	75320
11459900	50292
1494260	12353
15011999	754045
6921131	546806
15012283	756280
13828078	1136731
14515369	1116482
16880814	1327968
5666347	442493
1488378	10401
14005475	1079999
962650	12315
6450026	543153
14013974	1137745
8303394	555387
2776896	10464
14012583	1127515
5758931	480808
13827400	1204525
15013677	382262
5247204	447909
17503352	1354510
15010885	754074
14007292	941058
11747892	930275
6128879	424716
14675430	1087482
14016792	1221835
955507	43685
15613977	1293540
13996076	1211643
11605317	756275
16194300	1273751
5133092	320840
4397469	379329
12869773	1114942
5658737	46021
14516096	1204533
5184241	359919
1497039	32604
8676652	673839
12978899	1187894
11605280	756275
14013167	1127514
12979771	1162295
9714354	746832
951413	157899
14296942	1235689
10894633	943335
16880883	1327970
15614090	1293540
4156939	373405
9925735	762660
3989592	298338
15011119	754042
7047177	92521
15312255	536474
16796646	1239452
11294456	906669
13828446	1126950
15013090	754041
5179474	389214
921486	28289
13828365	1126950
1733511	196690
7070064	491893
7853577	641832
10351514	867696
14296706	1206557
921834	70600
3294681	268747
3238784	39640
16213717	1327765
16796655	1327974
2657342	244310
3654618	93838
16151501	1262530
5176038	10455
15312205	536474
14005728	1124654
13164839	1194641
14013354	1150989
15614131	1293540
13828806	1141133
5845781	1785753
1450776	89463
9086632	687375
5983627	445435
14516965	1091052
8658751	544686
14039023	1261657
10618751	1026955
4363345	1285600
3293951	10366
2773008	1921008
6740873	496874
14517154	1154689
5845619	1785753
944717	10266
9861486	879630
7040114	214439
14182226	1147155
16548142	1383056
14697897	1273740
14039080	1261657
14013137	1127514
7853571	641832
2732807	10702
8417691	640897
1260720	10869
8676245	663554
13827374	1204525
5184173	359919
2700730	35244
13997124	1239381
8463063	642926
16836416	1340827
15013265	756285
14013327	1150989
9925934	760732
10328106	445696
2700597	188350
14516884	1123964
13663318	213888
13997333	1204534
13996007	1211643
15614009	1293540
14010475	1051676
10399483	190063
16479787	1367205
14182214	1147155
14296551	1231048
15926804	115992
11107112	252584
5758904	480808
6940711	563121
6369884	482058
16881365	1328030
17401019	1408258
16045503	754039
16028506	994994
962135	12295
14013448	1204543
14012503	1128071
6128891	424716
10329339	445685
11467871	593131
951233	197771
16194392	1273752
16385271	1337877
2636252	10677
4306241	113370
14516750	1229753
6775101	120086
3293796	10366
10020986	696472
12979149	1114179
12979000	1187128
13466430	35306
5184217	359919
1260425	148943
10328888	445686
10359145	857312
5075653	10752
11541290	1109713
5237018	347327
13993986	1141136
16213965	1327770
11467912	335797
1262206	12417
16191518	1235824
5236332	425386
3707753	344021
7944083	576791
5142403	128708
951305	114777
955778	209052
14697614	1283076
5660053	380598
15926758	115992
16214265	1327773
6295446	523909
5845652	1785753
16194976	1283071
10328484	445684
14296182	685892
14181819	1229755
8763935	36355
14010511	1051676
5220132	393598
15011626	929832
912025	262177
5601967	388452
10327863	444862
11266323	310540
5666357	442493
14006421	483266
16880922	1327970
15011562	889953
1497252	35286
3260459	238854
16185657	929833
16253936	1173749
3562367	337828
920963	155148
10511792	562742
14013279	1150989
932152	10273
2777640	10726
14498970	1206110
14340139	101850
10327639	444862
16797100	1327982
4432032	270161
3974501	320122
10351246	743813
1727423	70600
14011280	317858
5220163	438482
11175069	1081055
1258225	169683
4156314	345201
11294494	906669
14181235	1235640
8763881	36355
14007336	941058
13993749	1141136
10327562	444859
921770	49964
1497157	33708
15042064	547228
14517175	1154689
4157956	373415
16185675	929834
3416143	115991
2943614	38804
955355	10724
14697521	1283078
14297197	1029988
3974340	31508
3844359	32612
5364346	399781
7047257	92521
14014173	1108865
15613700	1293572
5656630	99000
4306194	113370
14698222	1131316
14516743	1229753
14697622	1283076
15311865	573171
5133474	320845
920958	148879
12301886	977801
14007553	936152
5076586	322855
16207420	1316739
5601876	330399
2948357	279530
15012215	869662
9086734	687373
920839	12253
9398030	762905
11187352	671126
14012146	1150991
16606053	1349410
8683465	150286
16489421	1367203
1727426	70600
16836074	1206545
14516137	1204533
14697273	1273741
8658756	186786
4818453	423476
16548209	1383056
14182403	1147158
3562390	337828
15613542	1293539
14006889	37105
11294451	906669
11605229	756275
10351662	867696
13995846	1211643
15926871	115992
16385218	948071
5220168	438482
8207443	658401
6128864	424716
16045101	754038
5741385	693998
7751021	632112
16193790	1273748
5133183	320841
5184189	359919
921714	49964
14017059	1198013
5176963	326574
1497135	33708
6940324	561996
2545872	75320
1449957	83191
6804895	39420
6435213	537874
3197432	298338
16045255	754038
15012163	869662
16414394	1301279
14181991	1147152
15383014	1324794
2776906	10464
14446160	1269028
13827686	1225800
8683853	663557
6989641	504346
16215381	1327938
3654751	181082
4484221	315953
16193925	1273749
10511740	562742
1487444	10325
15012289	756280
11536674	764595
7070085	491893
4484220	315953
14297351	1029988
1260049	205879
2943363	249151
15013603	536466
14006158	757342
14675343	1087482
5228331	376852
984334	161736
14445978	1269028
10327938	445696
2650870	72750
1259341	205872
2777147	230158
11541285	1109713
929474	10468
2777540	10726
920606	37665
10358911	881953
13165523	765765
2948328	279530
9711635	861047
932205	10273
10359014	764561
956308	37124
7353035	348058
1449595	268785
14006362	508419
10020075	880159
1489939	230871
2743934	77775
932464	10276
911978	262177
14675342	1087482
15614139	1293540
15312281	536474
11747999	930275
5075659	10752
14016721	1161935
956089	194802
13994332	1141137
16214576	1327776
5179628	419435
4191999	392174
14515251	1116482
14498990	1206110
11499279	47985
5839470	139871
7262077	578234
929678	103807
5141866	1307957
14013370	1150989
10021416	700939
5758885	475777
16606870	1349410
13997697	1141138
932424	10276
944542	12136
15613344	1293539
13853690	1241371
15550191	172861
15010167	754075
912185	98383
5123525	437329
2948151	261939
15312141	536444
16511688	1325731
3416297	115991
10327833	444862
5075645	10752
14012962	1147094
5076513	306276
14536718	33706
1481772	194966
16796817	1327977
14446163	1269028
5123563	437329
5179494	389214
13828250	1604355
15013086	754041
6216195	491003
16548193	1383056
16512525	1349409
13164906	1049283
15012299	756280
16194256	1273750
16836150	1206545
921853	130556
5758839	469660
4643009	1307954
5470409	322019
5601990	388452
5076409	265522
4157947	373415
10329346	445685
15041365	1198014
14536631	33706
14012571	1127515
1487714	10335
6435207	537874
13994538	1141140
5076089	260797
5141610	292639
16546588	1340830
11536496	1128424
8658564	10334
918552	37108
16212804	1327035
921288	31754
5955675	129861
962153	12303
13538763	1114179
921893	130556
15012401	754046
10329360	445685
15012641	754058
11605104	1100790
14444672	1262513
11605291	756275
5176098	10455
10963817	68347
6295457	523909
16213778	1327765
5758789	459290
3952985	343516
927323	35343
5950951	379529
1489187	225726
9978872	519497
14011145	1051673
4397448	379329
991233	46607
935540	188763
8919453	745177
2979113	256729
15957233	1282995
5237031	347327
16548157	1383056
16199639	1300004
16194234	1273750
15012875	755272
932439	10276
2658108	227470
963864	12466
9926114	760732
6779515	551895
5130464	55510
10894630	943335
11537902	1109711
15012457	754046
1487348	10310
3974488	320122
11763539	1115696
16215656	1327948
16546604	1340830
16194304	1273751
13828900	1235661
9925749	762660
11541252	1109717
14296253	1147044
1682469	10381
11266460	180230
6920924	546805
5687503	386793
13997164	1239381
16489478	1367203
7901597	644610
8684046	665032
9926260	709484
11536459	1128424
5659672	380598
921960	130556
1488587	10449
2717106	139870
1733381	176652
14697257	1273741
8658868	665033
16193564	1273746
16187667	1195085
13827364	1204525
949234	12139
12979281	1161927
16796975	1327981
16605658	1349410
11604961	1125653
1449992	83191
1442394	51677
11464242	1535247
13995109	1211640
4960773	431894
11464146	50290
2948211	261939
14014036	1150990
1497027	32604
2545919	75320
11464181	50290
14443557	111167
16607475	1349410
14340118	101850
14498988	1206110
16205406	1309583
5850465	490711
1488906	10497
3890503	28288
16414230	994995
5955693	129861
14005273	1079999
912049	262177
1488880	10497
2948370	279530
16880952	1327970
10279011	81877
14012845	1147094
17503359	1354510
11256965	1094892
4960601	431891
11748038	930275
14477252	1262528
1487715	10335
15013670	382262
5950662	467481
15766045	251749
14181241	154122
932204	10273
10327375	445683
14013835	1137745
7353021	348058
7871872	641487
14516811	1264737
8676559	673832
15311774	573173
11468241	188763
6921228	546807
3562341	337828
9829324	10353
15613080	10288
3192577	151599
14297287	1029988
14007537	936152
3293802	10366
15613677	1293572
9711663	861047
11945681	1159902
11294822	331278
6653986	10704
12301891	977801
9925912	760732
2744083	77775
2947822	10493
12979376	1161927
16212561	1325953
11294886	331278
15010911	754042
16187291	1173743
4643185	399185
11536024	994601
1461310	157924
10328819	445686
16199578	1300004
8673566	693582
13827242	1177632
1497345	36363
14010523	1051676
6779486	551895
13826478	1235559
3562332	337828
11536629	764595
911818	46448
11541338	1109713
932776	151528
2846143	279303
6449924	543152
14477268	1262528
14697311	1168281
15010806	754052
5470286	322019
16207298	1315956
7871759	111874
3952974	343516
6920925	546805
5176120	10455
11537396	1124849
1494780	28321
16193650	1273747
14039018	1261657
4397434	379329
2741796	248496
1725041	35254
14013134	1127514
16881018	1327971
5625646	260120
14857939	38767
4484234	315953
15312040	536444
16194946	1283071
3416197	115991
921190	10397
5659747	380598
3260349	238854
14697464	1273739
11541504	1109712
16193473	1273746
5602036	388452
6920817	546805
16187360	1195068
10228732	979533
13826709	1204524
13993667	1141135
2979147	256729
920897	35241
5076554	322855
14016834	1217810
7804588	307467
14296931	1235689
1260465	148943
10987370	36403
11541529	1109712
16796699	1327974
6128906	424716
10329604	445688
10228495	979525
7055780	263892
14340126	101850
3431537	320432
14006856	942016
16548033	1340826
935524	188763
16214430	1327775
9829343	10353
10326667	444860
6803915	552525
932148	10273
13165262	1049283
14016705	1161935
15088797	1286141
5176978	326574
15312207	536474
16512531	1349409
940292	79700
15486132	994672
15312426	573174
940397	79700
4606068	416419
16151490	1262530
3238941	39640
10511670	753084
8673568	693582
8683403	674081
16791278	909210
5130550	349563
14296084	685892
1262954	129009
2636262	10677
10327398	444859
7056789	559170
922068	51313
10327187	445683
1258853	197783
14536682	33706
15009935	756282
5076865	413066
11605483	1105171
11541263	1109713
14675502	1087482
16796846	1327977
9711325	871584
5075678	10752
5602312	448384
11468017	1714272
955294	10724
13828202	1604355
1497090	32604
5204396	414970
15012473	754046
3772949	12336
16045441	754039
5228384	376852
3654758	181082
10323031	279006
15010215	754067
955678	175950
13828888	1235661
9797272	878329
5176377	1307956
1442265	51677
6998163	559189
13165274	1049283
11107066	252584
14039014	1261657
11537316	1124849
11605240	756275
11266425	180230
15766263	251749
2943201	104581
14543349	1235314
10618961	1026955
911791	35252
16214669	1327777
11605316	756275
5797454	451705
3294308	268746
3989575	242861
3582049	279530
1494319	12353
14006401	483266
4306173	113370
2717108	139870
2777652	10726
2949743	45455
2741798	248496
955869	106331
10020134	880162
17503310	434346
7070060	491893
