#Accession	NCBI-taxid (-1 = withdrawn)
282860144	553171
296810375	554155
420155467	1105031
484107835	128403
304415074	663321
420151720	1125718
416248916	857573
237643503	641112
423092765	1038922
484234840	1123309
156061530	665079
485060673	1218513
453076302	1278078
410093752	450396
484033213	1248917
327187819	891974
237756383	432331
483803575	1116369
393193529	1112214
300709065	578460
400289412	699248
511646349	1256197
545383494	649747
339053205	434085
124513445	36329
424824698	1003238
537804066	1049759
551032504	1280663
149172933	447456
254572204	644223
545078438	1238231
409167412	1165091
544861867	1353530
303390802	876142
302682166	578458
440713065	993516
484034293	1118235
551717059	575596
510822081	1150600
448532613	1227481
354613571	882084
555237190	1079477
484122348	96765
359771151	1077974
484154399	1288484
484041993	1205681
458794469	1278076
224993785	622312
520789783	911242
164427961	367110
365823014	1046599
365882038	566679
562787161	1408890
421858544	1212764
483619647	1123318
471975846	1235279
353025792	941258
302405968	526221
294645675	702444
484031375	1141105
514972104	1217657
484325080	1197720
422579839	629258
410093002	450396
311748859	420336
330797530	5786
365878681	566679
315051365	535722
484197176	1123021
302898750	660122
406661478	1225176
544843971	1117108
483189878	1131285
375335351	174145
330831744	5786
324330691	761194
156092929	126793
343197981	556263
444367912	1127692
406668438	1224748
254580530	559307
483707245	1123400
483989769	1121396
336232938	1423822
441511292	1220583
483536619	1123298
224021164	445972
484189229	1263856
443670619	1268303
325919028	925777
302674137	578458
523591799	886559
484123118	1278971
171322444	396597
307565217	679191
484344491	1161101
224514860	411474
332429622	911104
408542900	1149865
485060128	1216961
421879244	1127128
345865870	1049564
448565821	1227461
343925595	1027371
483433672	1221303
511767179	1201036
398985966	1144326
383216695	637390
514958263	883165
422318695	562971
490724551	1307437
394994889	1007654
346317897	563031
213965845	553204
484273269	1192759
126733107	388399
348166931	940286
393771169	555793
544711219	1324960
156849134	436907
399579660	1008457
124007674	313606
67582708	353151
322380371	710394
483337954	1041139
156063327	665079
545351358	1227264
347600219	565443
116198678	306901
558561909	1321371
339050794	434085
444312077	1234597
551715435	613026
563356811	1423140
425739103	1229783
429082710	1073999
156061062	665079
484183260	1190606
421890744	1091042
545349533	1321775
365158315	665952
68069748	5823
367012611	4950
485649579	1079985
190682690	526945
343507397	870968
484115730	1030145
493316014	1160234
302655469	663202
544854821	1353275
307261825	754261
458906608	1244869
483613946	1123318
402844817	936565
551313443	877418
483133498	1114962
418463120	1114959
190640639	526946
448323487	1227497
153868005	422288
544804845	1333854
167382480	370354
421484797	1156919
223040705	553218
402297570	1218173
68468177	237561
444349746	1167008
484228277	1123388
365821791	1122149
343497807	1051649
484183866	1190607
68058919	5823
424040860	992011
458918432	1244869
307263106	754262
484074267	372781
148979301	391574
317512174	232348
490285338	1288494
374624097	519989
255936408	500485
421785461	1206776
537803998	1049759
452742940	1078775
408905721	1167637
486427171	1009712
486618658	1157417
484016888	1121280
484036851	1156938
358447907	1094979
399042294	1144312
484234011	523845
484022821	1246474
544676024	1292372
444330457	1035196
123426868	412133
545090913	1383065
238488140	332952
550027244	1400797
402296894	1123864
448359362	1227492
488644571	997898
372136966	1042375
493493893	1118156
167391491	370354
544820816	1329909
410092950	450396
398870002	1144336
343494523	1051649
50290010	284593
149133595	441166
224514838	411485
483299691	1231057
564758716	1313067
365883435	566679
484104983	1262650
485076166	1123057
299537929	714961
427403553	883126
485854608	487528
336267001	771870
486409368	1123230
397733396	745408
484094402	1046593
407711772	1229205
505759785	1217699
485063233	569153
483996226	222534
485041059	911133
484216356	1131270
484004714	1231391
514982437	1330531
365854238	797515
399524168	1105030
228473720	553178
50553635	284591
481030745	1154860
483348124	1120948
421738137	1195457
487651704	1239789
78221228	269799
397320022	997887
420247653	1144309
448739104	1227457
483977016	1154764
490270493	1255307
116192608	306901
303389350	876142
119494120	313612
449135526	1263867
490757675	1292034
398976638	1144327
359771604	1077974
110597210	377431
229594540	5911
484115797	1030145
163797159	331869
313004419	675515
444381535	1128111
70990081	330879
562955959	1287336
119182564	246410
484034518	1240349
302501100	663331
484135200	931276
484227206	1157640
289422601	596329
345854049	700597
377569509	1089454
545330701	1321817
325678169	246199
409349938	1293597
485063777	374846
491503222	1268237
484020244	1151119
366997054	1064592
90411979	314280
377563751	1089453
297369966	525371
484069289	1033854
555264907	1173780
420152265	1125718
225001194	471875
325264246	556261
484196977	1191301
393726596	859192
254386431	465541
484183820	1190607
486833739	768486
484175455	1179224
290993056	744533
448320273	1227497
485069377	1157639
207998179	500632
153864385	422288
384058524	634456
484197703	1266908
418576566	1131257
359367395	310037
523626618	1193042
62425018	321955
489096949	1218598
223940513	320771
67923794	165597
15674250	160490
317156346	510516
470947318	1235458
288926052	575611
490963846	1217651
67521799	227321
448519060	1227468
163804394	214688
484202923	617145
313887413	910312
484230670	1157686
70937655	31271
544850326	641524
238761737	527012
484324885	1197720
484207259	1191324
398992363	1144326
118490567	413949
484014266	1245476
164685931	360116
484081057	1121346
483695870	1138452
222299707	403779
483975700	1157635
483695776	1138452
545092799	1195244
485050510	1211115
336271124	771870
224485414	457395
390439710	1160279
484038490	1051075
484180458	1190605
441514079	1220574
508551546	1321368
383216687	637390
543938943	1117313
483891337	1048261
511623176	1055192
512697125	1203593
483589822	1123311
483980556	1154764
484225407	1157681
484235331	1279017
444311587	1234597
422845658	888809
512219395	1305617
485050223	1211114
317037500	425011
458974169	1223523
441166276	1265868
484075188	306281
453074197	1278078
443309170	927677
420245098	1144310
511768031	1201036
443326250	102125
485041082	911133
254483224	247634
443310978	927677
336440822	658081
544795421	1234875
560490306	1388763
447828498	1261130
335052938	936048
378759068	1074493
334363724	878320
254221894	585506
484132270	95607
70988650	330879
483280968	1080187
563029320	1287294
459029450	1291534
357031379	1088869
67526182	227321
258589218	546265
512217947	1305617
336314402	506534
134113664	283643
484227203	1157640
484183665	1240726
398836752	1144342
354567317	741277
551246863	1120947
485050820	1211115
241766600	573060
398365402	559292
484218869	1131278
484325952	1197720
315050885	535722
323142632	626939
374606242	1131935
401416197	929439
487392521	1172180
149183066	161544
238584861	554373
484343857	1198133
550276127	1349822
406839163	450821
335036746	82789
484208991	1123399
483981572	1122169
164659475	425265
261197364	559298
472452546	1297569
444313199	1234597
545472498	1219077
483991010	1123277
324331098	761194
555265473	1173780
257423101	546266
418410698	1107544
169600586	321614
378759595	1043205
448390002	1227488
484039302	1169185
304415234	663321
417506876	913082
448084373	559304
483962234	1136167
484164396	768491
520950281	1238236
390169293	861109
550265433	1313304
359433942	388384
359438158	383911
484197677	1191302
427821506	1208659
484120548	748003
241958515	573826
406705597	859653
551241393	1121109
324330593	761194
295425446	585524
238756767	527005
395004022	1144317
403725782	1108045
560223186	1344995
421738598	1195457
484001900	1121096
94268859	262489
548578605	1227812
544233283	649755
488003215	1209359
303310576	222929
483993218	1240676
489151750	1292037
323499726	945550
408543694	1134445
485462091	1051004
484009926	1245026
71744275	185431
485068943	1157629
553776600	1402545
323701323	696369
224514807	428127
485662368	1085628
484116796	1030145
551005573	877445
282892274	159254
545401098	411472
317159383	510516
410651204	1172567
544988474	1151292
560232482	1396518
551026854	1280683
393726585	859192
299741903	240176
484026392	1246475
317512111	232363
373471603	861454
365922917	797473
484033810	1194165
330990428	1004836
416938461	987057
484004942	1120934
320534959	706439
416045427	907487
303390580	876142
499152275	1121342
325853244	944557
123449899	412133
238785079	349968
373468165	762965
483434175	1122247
302495936	663331
483281413	1080187
282891483	159254
338814504	1009370
554183179	1124962
307244668	596315
320538650	754027
484022800	1246474
255715556	559295
545460477	1391729
493472689	1118156
484118302	564421
71030749	333668
334135215	944559
422337952	679198
343957576	981383
491081305	1217677
490787993	1217715
419801800	1095745
484110394	95611
359444456	420915
332561612	992186
145490075	412030
409167224	1168289
448551946	1227463
338991757	1043206
336268601	771870
484231306	1157685
325271720	985010
475992063	1195236
123411002	412133
338814159	1009370
550703791	1387231
422848022	888810
424031220	992010
156848038	436907
485068238	629773
402299358	1218173
401428766	929439
149002894	406560
557825374	1282360
563246061	1287085
484227433	1041151
418026554	1042404
339050679	434085
407792485	740709
302307592	284811
484075088	306281
484007101	1245473
313150997	525326
488897465	1131451
545598308	1125712
398386973	336722
511622599	1055192
421142884	463794
484174869	1179224
223998179	296543
365838831	1002364
484081249	1121346
171348126	499171
545429266	1227272
419838679	1095742
544915306	1221520
544845650	1117108
483049122	1210005
116195593	306901
209517835	516466
484049491	1194208
213408792	402676
342210634	1034808
401565288	936572
483531291	1219037
169868110	240176
483983433	1144930
422599870	629261
212540293	441960
484204392	1131290
498797750	1273125
223667588	411462
163783681	392423
395007283	1144317
484050383	904143
483980558	1122619
296411138	656061
344344801	765910
483992468	1123276
393772565	555793
484120965	1238186
459785260	360313
146412449	294746
66823638	352472
182417428	447214
154272056	339724
544866475	1329905
118490647	413949
410078869	1071382
163784925	392423
484180513	1240783
365841110	861450
485602543	1079985
484106864	1163065
489082778	1218598
419801315	1095745
74026181	185431
381184903	1081736
444355690	1127693
336258148	771870
