#Accession	NCBI-taxid (-1 = withdrawn)
NC_018401.1	1214955
NC_003855.1	193122
NC_004092.1	169696
NC_013027.1	642255
NC_005875.1	220814
NC_003613.1	53193
NC_003533.1	191032
NC_003971.1	192022
NC_014646.1	666146
NC_003778.1	192021
NC_003631.1	31503
NC_002562.1	134606
NC_003380.1	195056
NC_003539.1	12898
NC_010619.1	519016
NC_005359.1	478812
NC_012493.1	575918
NC_009563.1	447597
NC_004733.1	221036
NC_003882.1	12899
NC_003264.1	551523
NC_002015.1	12897
NC_001402.1	11958
NC_013013.1	656025
NC_014741.1	929051
NC_003414.1	915293
NC_005874.1	220813
NC_021707.1	1348500
NC_021929.1	1367671
NC_014906.1	743026
NC_009556.1	447600
NC_005052.1	221037
NC_021206.1	1329650
NC_018869.1	1238162
NC_015399.1	759938
NC_001553.1	12885
NC_013423.1	666635
NC_003798.1	193118
NC_003826.1	373058
NC_019498.1	1249649
NC_002560.1	134606
NC_014907.1	741733
NC_001464.1	12890
NC_002559.1	134606
NC_002567.1	134606
NC_006632.1	377611
NC_002602.2	12436
NC_018935.1	1213187
NC_018082.1	1048668
NC_004009.2	192023
NC_004728.1	219174
NC_002561.1	134606
NC_006458.1	298974
NC_012557.1	635076
NC_013424.1	670251
NC_009570.1	447325
NC_018091.1	1200971
NC_013116.1	664785
NC_009562.1	447606
NC_006956.1	302069
NC_006460.1	298965
NC_019532.1	1255765
NC_003848.1	195062
NC_021480.1	1343493
NC_010297.1	497865
NC_002564.1	134606
NC_014129.1	758918
NC_003611.1	12907
NC_003379.1	268776
NC_001920.1	12904
NC_003540.1	68402
NC_009560.1	447604
NC_013025.1	642253
NC_017843.2	1173709
NC_018671.1	1234171
NC_001546.1	196399
NC_019944.1	1249467
NC_015928.1	1072177
NC_018617.1	1231387
NC_001557.1	12881
NC_003538.1	12901
NC_003497.1	190811
NC_014927.1	942033
NC_009450.1	435488
NC_014379.1	870465
NC_020475.1	1297646
NC_013028.1	642256
NC_001471.1	12889
NC_013018.1	642259
NC_002566.1	134606
NC_017918.1	1177191
NC_019024.1	1188812
NC_003612.1	46342
NC_008237.1	393034
NC_011372.1	444193
NC_015929.1	1072178
NC_003977.1	10407
NC_004904.1	234829
NC_020881.1	1303386
NC_009571.1	417192
NC_004359.1	697192
NC_020906.1	400677
NC_002738.1	127441
NC_015327.1	1001263
NC_014930.1	942037
NC_001410.1	12896
NC_003889.1	31504
NC_004107.1	35269
NC_003890.1	196089
NC_014065.1	755305
NC_004515.1	221054
NC_001351.1	12893
NC_001830.1	12783
NC_014630.1	598494
NC_006957.1	302070
NC_007213.1	326489
NC_003059.1	168238
NC_015783.1	68887
NC_003854.1	193119
NC_001782.1	12450
NC_001462.1	36453
NC_012666.1	640136
NC_008579.1	411248
NC_013026.1	642254
NC_020099.1	1168547
NC_003681.1	192025
NC_021720.1	1319979
NC_003851.1	195063
NC_001465.1	1458187
NC_007212.1	325113
NC_004048.1	198608
NC_018864.1	1176156
NC_016536.1	706122
NC_019499.1	1250303
NC_013020.1	642260
NC_003682.1	192026
NC_001340.1	12895
NC_021204.1	1328032
NC_014928.1	942034
NC_013030.2	642258
NC_020904.1	1194757
NC_005954.1	518829
NC_010352.1	496807
NC_004546.1	219596
NC_002558.1	134606
NC_021345.1	1335766
NC_010236.1	436243
NC_003054.1	146032
NC_011362.1	529840
NC_020472.1	1296573
NC_020160.1	1278205
NC_008375.1	345250
NC_021708.1	1188819
NC_003463.1	73494
NC_007721.1	260479
NC_001907.1	72705
NC_016963.1	1149871
NC_013103.1	661505
NC_018628.1	1231298
NC_010308.1	481311
NC_006630.1	284503
NC_010165.1	459949
NC_001792.2	133704
NC_003636.1	12894
NC_003872.1	99930
NC_009558.1	447602
NC_013134.1	659660
NC_002743.1	1298467
NC_002563.1	134606
NC_018614.1	1231334
NC_009561.1	447605
NC_013133.1	659660
NC_021568.1	1345637
NC_001341.1	10876
NC_002565.1	134606
NC_021203.1	1328031
NC_002557.1	134606
NC_011590.1	574040
NC_003683.1	192027
NC_009559.1	447603
NC_014929.1	942035
